StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone,ReportingPeriod
SID_2024007,88,97.51,Paid,14,87.97,0,Graduate,jacksonhays@example.com,(789)251-9853x89069,2
SID_2024007,89,100.0,Paid,14,87.97,0,Graduate,jacksonhays@example.com,(789)251-9853x89069,3
SID_2024007,94,100.0,Paid,14,87.97,0,Graduate,jacksonhays@example.com,(789)251-9853x89069,4
SID_2024008,41,41.77,Paid,4,49.17,0,Dropout,kaitlyn26@example.org,001-783-619-4334x0961,1
SID_2024008,43,46.19,Paid,4,49.17,0,Dropout,kaitlyn26@example.org,001-783-619-4334x0961,2
SID_2024008,47,51.8,Paid,4,49.17,0,Dropout,kaitlyn26@example.org,001-783-619-4334x0961,3
SID_2024008,53,55.59,Paid,4,49.17,0,Dropout,kaitlyn26@example.org,001-783-619-4334x0961,4
SID_2024009,100,97.36,Paid,14,84.18,1,Graduate,amy48@example.net,534-427-0099x9718,1
SID_2024009,100,100.0,Paid,14,84.18,1,Graduate,amy48@example.net,534-427-0099x9718,2
SID_2024009,100,100.0,Paid,14,84.18,1,Graduate,amy48@example.net,534-427-0099x9718,3
SID_2024009,100,100.0,Paid,14,84.18,1,Graduate,amy48@example.net,534-427-0099x9718,4
SID_2024010,96,93.07,Paid,13,75.89,0,Graduate,baileymatthew@example.com,9527371334,1
SID_2024010,96,94.36,Paid,13,75.89,0,Graduate,baileymatthew@example.com,9527371334,2
SID_2024010,100,95.55,Paid,13,75.89,0,Graduate,baileymatthew@example.com,9527371334,3
SID_2024010,100,98.37,Paid,13,75.89,0,Graduate,baileymatthew@example.com,9527371334,4
SID_2024011,92,68.49,Paid,7,74.1,0,Enrolled,knightangela@example.org,786.217.6143x35052,1
SID_2024011,90,66.08,Paid,7,74.1,0,Enrolled,knightangela@example.org,786.217.6143x35052,2
SID_2024011,92,67.88,Paid,7,74.1,0,Enrolled,knightangela@example.org,786.217.6143x35052,3
SID_2024011,88,67.14,Paid,7,74.1,0,Enrolled,knightangela@example.org,786.217.6143x35052,4
SID_2024012,96,86.0,Paid,5,73.45,0,Graduate,tammytucker@example.net,(266)985-7764x2360,1
SID_2024012,97,91.33,Paid,5,73.45,0,Graduate,tammytucker@example.net,(266)985-7764x2360,2
SID_2024012,98,91.33,Paid,5,73.45,0,Graduate,tammytucker@example.net,(266)985-7764x2360,3
SID_2024012,100,97.13,Paid,5,73.45,0,Graduate,tammytucker@example.net,(266)985-7764x2360,4
SID_2024013,86,95.22,Paid,13,71.92,1,Graduate,justin55@example.net,887.806.7523x158,1
SID_2024013,87,97.9,Paid,13,71.92,1,Graduate,justin55@example.net,887.806.7523x158,2
SID_2024013,91,100.0,Paid,13,71.92,1,Graduate,justin55@example.net,887.806.7523x158,3
SID_2024013,89,99.34,Paid,13,71.92,1,Graduate,justin55@example.net,887.806.7523x158,4
SID_2024014,92,73.58,Due,9,59.45,0,Enrolled,williamperez@example.com,001-991-623-4994x933,1
SID_2024014,89,68.64,Due,9,59.45,0,Enrolled,williamperez@example.com,001-991-623-4994x933,2
SID_2024014,94,69.4,Due,9,59.45,0,Enrolled,williamperez@example.com,001-991-623-4994x933,3
SID_2024014,94,76.89,Due,9,59.45,0,Enrolled,williamperez@example.com,001-991-623-4994x933,4
SID_2024015,88,82.47,Paid,13,94.74,0,Graduate,glenda02@example.net,(779)696-1049,1
SID_2024015,91,85.63,Paid,13,94.74,0,Graduate,glenda02@example.net,(779)696-1049,2
SID_2024015,90,91.77,Paid,13,94.74,0,Graduate,glenda02@example.net,(779)696-1049,3
SID_2024015,95,87.54,Paid,13,94.74,0,Graduate,glenda02@example.net,(779)696-1049,4
SID_2024016,41,48.86,Due,0,55.0,0,Dropout,mark68@example.org,001-519-618-4045x25542,1
SID_2024016,44,49.81,Due,0,55.0,0,Dropout,mark68@example.org,001-519-618-4045x25542,2
SID_2024016,46,53.21,Due,0,55.0,0,Dropout,mark68@example.org,001-519-618-4045x25542,3
SID_2024016,50,55.68,Due,0,55.0,0,Dropout,mark68@example.org,001-519-618-4045x25542,4
SID_2024017,97,91.56,Paid,14,86.48,0,Graduate,dustinfarmer@example.com,+1-832-773-6636x983,1
SID_2024017,100,95.74,Paid,14,86.48,0,Graduate,dustinfarmer@example.com,+1-832-773-6636x983,2
SID_2024017,99,94.31,Paid,14,86.48,0,Graduate,dustinfarmer@example.com,+1-832-773-6636x983,3
SID_2024017,100,96.04,Paid,14,86.48,0,Graduate,dustinfarmer@example.com,+1-832-773-6636x983,4
SID_2024018,77,66.97,Paid,6,57.91,0,Enrolled,rojasbryan@example.org,+1-564-938-1176x7961,1
SID_2024018,79,65.56,Paid,6,57.91,0,Enrolled,rojasbryan@example.org,+1-564-938-1176x7961,2
SID_2024018,75,69.43,Paid,6,57.91,0,Enrolled,rojasbryan@example.org,+1-564-938-1176x7961,3
SID_2024018,74,66.16,Paid,6,57.91,0,Enrolled,rojasbryan@example.org,+1-564-938-1176x7961,4
SID_2024019,46,51.99,Overdue,2,55.67,0,Dropout,phart@example.org,950.514.7544,1
SID_2024019,54,57.8,Overdue,2,55.67,0,Dropout,phart@example.org,950.514.7544,2
SID_2024019,58,58.48,Overdue,2,55.67,0,Dropout,phart@example.org,950.514.7544,3
SID_2024019,64,62.26,Overdue,2,55.67,0,Dropout,phart@example.org,950.514.7544,4
SID_2024020,100,98.87,Paid,10,87.66,0,Graduate,scottcarroll@example.org,(308)647-0567,1
SID_2024020,100,100.0,Paid,10,87.66,0,Graduate,scottcarroll@example.org,(308)647-0567,2
SID_2024020,100,100.0,Paid,10,87.66,0,Graduate,scottcarroll@example.org,(308)647-0567,3
SID_2024020,100,100.0,Paid,10,87.66,0,Graduate,scottcarroll@example.org,(308)647-0567,4
SID_2024021,47,38.6,Due,0,40.0,1,Dropout,jlane@example.com,+1-900-424-6442x75917,1
SID_2024021,52,43.27,Due,0,40.0,1,Dropout,jlane@example.com,+1-900-424-6442x75917,2
SID_2024021,56,47.4,Due,0,40.0,1,Dropout,jlane@example.com,+1-900-424-6442x75917,3
SID_2024021,62,53.23,Due,0,40.0,1,Dropout,jlane@example.com,+1-900-424-6442x75917,4
SID_2024022,81,88.47,Due,5,71.41,1,Enrolled,harrisonkara@example.net,001-883-852-8292x34586,1
SID_2024022,80,83.34,Due,5,71.41,1,Enrolled,harrisonkara@example.net,001-883-852-8292x34586,2
SID_2024022,79,81.37,Due,5,71.41,1,Enrolled,harrisonkara@example.net,001-883-852-8292x34586,3
SID_2024022,80,81.04,Due,5,71.41,1,Enrolled,harrisonkara@example.net,001-883-852-8292x34586,4
SID_2024023,68,81.36,Due,9,58.59,0,Enrolled,brycehall@example.org,+1-434-504-6158,1
SID_2024023,67,75.16,Due,9,58.59,0,Enrolled,brycehall@example.org,+1-434-504-6158,2
SID_2024023,70,79.87,Due,9,58.59,0,Enrolled,brycehall@example.org,+1-434-504-6158,3
SID_2024023,72,81.54,Due,9,58.59,0,Enrolled,brycehall@example.org,+1-434-504-6158,4
SID_2024024,96,57.11,Paid,4,55.06,0,Enrolled,kflores@example.net,+1-999-210-5924x2637,1
SID_2024024,93,65.18,Paid,4,55.06,0,Enrolled,kflores@example.net,+1-999-210-5924x2637,2
SID_2024024,92,64.45,Paid,4,55.06,0,Enrolled,kflores@example.net,+1-999-210-5924x2637,3
SID_2024024,94,59.68,Paid,4,55.06,0,Enrolled,kflores@example.net,+1-999-210-5924x2637,4
SID_2024025,77,82.95,Paid,3,60.97,0,Enrolled,xmckinney@example.org,762-539-1652,1
SID_2024025,74,82.38,Paid,3,60.97,0,Enrolled,xmckinney@example.org,762-539-1652,2
SID_2024025,74,75.03,Paid,3,60.97,0,Enrolled,xmckinney@example.org,762-539-1652,3
SID_2024025,79,74.18,Paid,3,60.97,0,Enrolled,xmckinney@example.org,762-539-1652,4
SID_2024026,86,65.59,Paid,4,76.32,0,Enrolled,sarah26@example.net,(921)311-5467x696,1
SID_2024026,87,67.04,Paid,4,76.32,0,Enrolled,sarah26@example.net,(921)311-5467x696,2
SID_2024026,81,65.86,Paid,4,76.32,0,Enrolled,sarah26@example.net,(921)311-5467x696,3
SID_2024026,86,65.55,Paid,4,76.32,0,Enrolled,sarah26@example.net,(921)311-5467x696,4
SID_2024027,47,31.32,Overdue,1,58.69,0,Dropout,amandaduncan@example.com,+1-405-884-2925,1
SID_2024027,53,34.61,Overdue,1,58.69,0,Dropout,amandaduncan@example.com,+1-405-884-2925,2
SID_2024027,62,38.27,Overdue,1,58.69,0,Dropout,amandaduncan@example.com,+1-405-884-2925,3
SID_2024027,65,41.19,Overdue,1,58.69,0,Dropout,amandaduncan@example.com,+1-405-884-2925,4
SID_2024028,96,92.49,Paid,6,78.1,0,Graduate,qsparks@example.net,+1-683-323-3607x4265,1
SID_2024028,99,94.8,Paid,6,78.1,0,Graduate,qsparks@example.net,+1-683-323-3607x4265,2
SID_2024028,98,94.49,Paid,6,78.1,0,Graduate,qsparks@example.net,+1-683-323-3607x4265,3
SID_2024028,99,95.36,Paid,6,78.1,0,Graduate,qsparks@example.net,+1-683-323-3607x4265,4
SID_2024029,100,94.43,Paid,9,85.06,1,Graduate,adrianweeks@example.org,597.308.3016x409,1
SID_2024029,100,95.32,Paid,9,85.06,1,Graduate,adrianweeks@example.org,597.308.3016x409,2
SID_2024029,100,94.42,Paid,9,85.06,1,Graduate,adrianweeks@example.org,597.308.3016x409,3
SID_2024029,100,100.0,Paid,9,85.06,1,Graduate,adrianweeks@example.org,597.308.3016x409,4
SID_2024030,87,71.37,Paid,6,68.74,1,Enrolled,christophersilva@example.org,+1-924-313-5267,1
SID_2024030,84,70.9,Paid,6,68.74,1,Enrolled,christophersilva@example.org,+1-924-313-5267,2
SID_2024030,88,76.18,Paid,6,68.74,1,Enrolled,christophersilva@example.org,+1-924-313-5267,3
SID_2024030,85,67.43,Paid,6,68.74,1,Enrolled,christophersilva@example.org,+1-924-313-5267,4
SID_2024031,92,63.07,Paid,8,73.99,0,Enrolled,john29@example.org,+1-686-827-7446x570,1
SID_2024031,95,68.88,Paid,8,73.99,0,Enrolled,john29@example.org,+1-686-827-7446x570,2
SID_2024031,93,67.92,Paid,8,73.99,0,Enrolled,john29@example.org,+1-686-827-7446x570,3
SID_2024031,93,61.42,Paid,8,73.99,0,Enrolled,john29@example.org,+1-686-827-7446x570,4
SID_2024032,87,90.49,Paid,8,78.18,0,Graduate,evan25@example.net,(421)297-6140x725,1
SID_2024032,89,94.53,Paid,8,78.18,0,Graduate,evan25@example.net,(421)297-6140x725,2
SID_2024032,88,97.73,Paid,8,78.18,0,Graduate,evan25@example.net,(421)297-6140x725,3
SID_2024032,89,95.53,Paid,8,78.18,0,Graduate,evan25@example.net,(421)297-6140x725,4
SID_2024033,97,99.88,Paid,10,77.98,1,Graduate,shane32@example.com,(269)292-4881,1
SID_2024033,100,100.0,Paid,10,77.98,1,Graduate,shane32@example.com,(269)292-4881,2
SID_2024033,100,100.0,Paid,10,77.98,1,Graduate,shane32@example.com,(269)292-4881,3
SID_2024033,100,100.0,Paid,10,77.98,1,Graduate,shane32@example.com,(269)292-4881,4
SID_2024034,69,84.68,Paid,6,79.22,1,Enrolled,cantujeffrey@example.com,594-729-0611,1
SID_2024034,67,86.57,Paid,6,79.22,1,Enrolled,cantujeffrey@example.com,594-729-0611,2
SID_2024034,73,87.82,Paid,6,79.22,1,Enrolled,cantujeffrey@example.com,594-729-0611,3
SID_2024034,71,87.95,Paid,6,79.22,1,Enrolled,cantujeffrey@example.com,594-729-0611,4
SID_2024035,85,83.71,Due,9,65.12,0,Enrolled,fosterjacob@example.org,001-559-277-3636x5717,1
SID_2024035,84,81.79,Due,9,65.12,0,Enrolled,fosterjacob@example.org,001-559-277-3636x5717,2
SID_2024035,86,85.14,Due,9,65.12,0,Enrolled,fosterjacob@example.org,001-559-277-3636x5717,3
SID_2024035,83,84.53,Due,9,65.12,0,Enrolled,fosterjacob@example.org,001-559-277-3636x5717,4
SID_2024036,80,64.79,Paid,3,60.74,0,Enrolled,kevin36@example.com,3399712374,1
SID_2024036,80,66.88,Paid,3,60.74,0,Enrolled,kevin36@example.com,3399712374,2
SID_2024036,81,65.2,Paid,3,60.74,0,Enrolled,kevin36@example.com,3399712374,3
SID_2024036,81,61.2,Paid,3,60.74,0,Enrolled,kevin36@example.com,3399712374,4
SID_2024037,86,81.11,Paid,5,74.45,1,Enrolled,oayala@example.net,862-874-1869x439,1
SID_2024037,84,80.13,Paid,5,74.45,1,Enrolled,oayala@example.net,862-874-1869x439,2
SID_2024037,81,78.74,Paid,5,74.45,1,Enrolled,oayala@example.net,862-874-1869x439,3
SID_2024037,85,76.37,Paid,5,74.45,1,Enrolled,oayala@example.net,862-874-1869x439,4
SID_2024038,85,64.37,Paid,7,68.84,0,Enrolled,richardyoung@example.net,001-729-317-3640x29234,1
SID_2024038,87,61.3,Paid,7,68.84,0,Enrolled,richardyoung@example.net,001-729-317-3640x29234,2
SID_2024038,87,63.66,Paid,7,68.84,0,Enrolled,richardyoung@example.net,001-729-317-3640x29234,3
SID_2024038,88,68.5,Paid,7,68.84,0,Enrolled,richardyoung@example.net,001-729-317-3640x29234,4
SID_2024039,88,69.79,Paid,8,68.45,0,Enrolled,robert82@example.com,4406200147,1
SID_2024039,87,67.76,Paid,8,68.45,0,Enrolled,robert82@example.com,4406200147,2
SID_2024039,86,73.12,Paid,8,68.45,0,Enrolled,robert82@example.com,4406200147,3
SID_2024039,83,74.17,Paid,8,68.45,0,Enrolled,robert82@example.com,4406200147,4
SID_2024040,90,69.98,Paid,8,56.02,0,Enrolled,allenbarrett@example.org,001-963-406-5790,1
SID_2024040,86,68.39,Paid,8,56.02,0,Enrolled,allenbarrett@example.org,001-963-406-5790,2
SID_2024040,85,71.79,Paid,8,56.02,0,Enrolled,allenbarrett@example.org,001-963-406-5790,3
SID_2024040,89,65.25,Paid,8,56.02,0,Enrolled,allenbarrett@example.org,001-963-406-5790,4
SID_2024041,90,83.0,Paid,8,74.49,0,Enrolled,kendra66@example.net,(320)877-6311,1
SID_2024041,85,87.76,Paid,8,74.49,0,Enrolled,kendra66@example.net,(320)877-6311,2
SID_2024041,87,85.53,Paid,8,74.49,0,Enrolled,kendra66@example.net,(320)877-6311,3
SID_2024041,88,87.13,Paid,8,74.49,0,Enrolled,kendra66@example.net,(320)877-6311,4
SID_2024042,72,82.48,Paid,3,64.89,0,Enrolled,elizabeth43@example.org,001-290-464-1682x00075,1
SID_2024042,75,82.48,Paid,3,64.89,0,Enrolled,elizabeth43@example.org,001-290-464-1682x00075,2
SID_2024042,70,84.21,Paid,3,64.89,0,Enrolled,elizabeth43@example.org,001-290-464-1682x00075,3
SID_2024042,69,83.35,Paid,3,64.89,0,Enrolled,elizabeth43@example.org,001-290-464-1682x00075,4
SID_2024043,98,84.66,Paid,5,77.08,1,Graduate,charles84@example.com,+1-748-898-5854,1
SID_2024043,99,88.0,Paid,5,77.08,1,Graduate,charles84@example.com,+1-748-898-5854,2
SID_2024043,100,87.55,Paid,5,77.08,1,Graduate,charles84@example.com,+1-748-898-5854,3
SID_2024043,100,93.59,Paid,5,77.08,1,Graduate,charles84@example.com,+1-748-898-5854,4
SID_2024044,90,77.4,Paid,4,67.2,0,Enrolled,millerkatelyn@example.com,+1-967-736-8061,1
SID_2024044,93,73.98,Paid,4,67.2,0,Enrolled,millerkatelyn@example.com,+1-967-736-8061,2
SID_2024044,92,78.78,Paid,4,67.2,0,Enrolled,millerkatelyn@example.com,+1-967-736-8061,3
SID_2024044,93,80.21,Paid,4,67.2,0,Enrolled,millerkatelyn@example.com,+1-967-736-8061,4
SID_2024045,73,62.29,Paid,3,64.44,1,Enrolled,jeffreyrobinson@example.net,959.897.5764x736,1
SID_2024045,73,61.15,Paid,3,64.44,1,Enrolled,jeffreyrobinson@example.net,959.897.5764x736,2
SID_2024045,71,61.07,Paid,3,64.44,1,Enrolled,jeffreyrobinson@example.net,959.897.5764x736,3
SID_2024045,69,62.08,Paid,3,64.44,1,Enrolled,jeffreyrobinson@example.net,959.897.5764x736,4
SID_2024046,74,67.17,Paid,8,58.68,1,Enrolled,mthomas@example.org,+1-944-933-4255x6883,1
SID_2024046,79,68.41,Paid,8,58.68,1,Enrolled,mthomas@example.org,+1-944-933-4255x6883,2
SID_2024046,75,69.76,Paid,8,58.68,1,Enrolled,mthomas@example.org,+1-944-933-4255x6883,3
SID_2024046,79,72.26,Paid,8,58.68,1,Enrolled,mthomas@example.org,+1-944-933-4255x6883,4
SID_2024047,95,99.55,Paid,7,85.61,0,Graduate,swilliams@example.net,2367495774,1
SID_2024047,96,100.0,Paid,7,85.61,0,Graduate,swilliams@example.net,2367495774,2
SID_2024047,100,100.0,Paid,7,85.61,0,Graduate,swilliams@example.net,2367495774,3
SID_2024047,98,100.0,Paid,7,85.61,0,Graduate,swilliams@example.net,2367495774,4
SID_2024048,89,72.81,Paid,5,63.48,1,Enrolled,melanie31@example.com,2808178425,1
SID_2024048,87,71.35,Paid,5,63.48,1,Enrolled,melanie31@example.com,2808178425,2
SID_2024048,85,74.74,Paid,5,63.48,1,Enrolled,melanie31@example.com,2808178425,3
SID_2024048,89,70.46,Paid,5,63.48,1,Enrolled,melanie31@example.com,2808178425,4
SID_2024049,86,85.3,Due,9,61.37,0,Enrolled,phillipdavis@example.com,+1-919-454-7652,1
SID_2024049,80,80.82,Due,9,61.37,0,Enrolled,phillipdavis@example.com,+1-919-454-7652,2
SID_2024049,83,84.79,Due,9,61.37,0,Enrolled,phillipdavis@example.com,+1-919-454-7652,3
SID_2024049,81,81.55,Due,9,61.37,0,Enrolled,phillipdavis@example.com,+1-919-454-7652,4
SID_2024050,50,41.22,Overdue,2,40.64,0,Dropout,scott11@example.net,(520)996-8398,1
SID_2024050,49,48.88,Overdue,2,40.64,0,Dropout,scott11@example.net,(520)996-8398,2
SID_2024050,55,51.69,Overdue,2,40.64,0,Dropout,scott11@example.net,(520)996-8398,3
SID_2024050,59,55.79,Overdue,2,40.64,0,Dropout,scott11@example.net,(520)996-8398,4
SID_2024051,74,64.14,Paid,5,64.2,0,Enrolled,jdavidson@example.com,+1-319-831-7922x7955,1
SID_2024051,75,61.16,Paid,5,64.2,0,Enrolled,jdavidson@example.com,+1-319-831-7922x7955,2
SID_2024051,77,62.44,Paid,5,64.2,0,Enrolled,jdavidson@example.com,+1-319-831-7922x7955,3
SID_2024051,74,68.05,Paid,5,64.2,0,Enrolled,jdavidson@example.com,+1-319-831-7922x7955,4
SID_2024052,68,68.12,Due,5,57.77,0,Enrolled,ldavis@example.com,+1-724-385-9690x0369,1
SID_2024052,68,74.58,Due,5,57.77,0,Enrolled,ldavis@example.com,+1-724-385-9690x0369,2
SID_2024052,68,70.61,Due,5,57.77,0,Enrolled,ldavis@example.com,+1-724-385-9690x0369,3
SID_2024052,69,66.81,Due,5,57.77,0,Enrolled,ldavis@example.com,+1-724-385-9690x0369,4
SID_2024053,40,33.29,Due,1,30.08,0,Dropout,cruztony@example.com,2239957343,1
SID_2024053,40,40.03,Due,1,30.08,0,Dropout,cruztony@example.com,2239957343,2
SID_2024053,47,45.07,Due,1,30.08,0,Dropout,cruztony@example.com,2239957343,3
SID_2024053,51,50.2,Due,1,30.08,0,Dropout,cruztony@example.com,2239957343,4
SID_2024054,93,69.67,Paid,5,57.01,1,Enrolled,bhicks@example.net,207-389-6903x1815,1
SID_2024054,91,74.97,Paid,5,57.01,1,Enrolled,bhicks@example.net,207-389-6903x1815,2
SID_2024054,90,75.84,Paid,5,57.01,1,Enrolled,bhicks@example.net,207-389-6903x1815,3
SID_2024054,94,71.55,Paid,5,57.01,1,Enrolled,bhicks@example.net,207-389-6903x1815,4
SID_2024055,85,69.12,Paid,3,56.16,1,Enrolled,andrejones@example.net,(467)345-8865x7786,1
SID_2024055,91,63.91,Paid,3,56.16,1,Enrolled,andrejones@example.net,(467)345-8865x7786,2
SID_2024055,88,67.65,Paid,3,56.16,1,Enrolled,andrejones@example.net,(467)345-8865x7786,3
SID_2024055,88,62.65,Paid,3,56.16,1,Enrolled,andrejones@example.net,(467)345-8865x7786,4
SID_2024056,98,95.96,Paid,14,77.05,1,Graduate,sherricooper@example.net,+1-784-403-7350x997,1
SID_2024056,98,96.39,Paid,14,77.05,1,Graduate,sherricooper@example.net,+1-784-403-7350x997,2
SID_2024056,99,98.53,Paid,14,77.05,1,Graduate,sherricooper@example.net,+1-784-403-7350x997,3
SID_2024056,100,100.0,Paid,14,77.05,1,Graduate,sherricooper@example.net,+1-784-403-7350x997,4
SID_2024057,79,73.17,Due,3,76.98,0,Enrolled,xjackson@example.net,681-659-3896,1
SID_2024057,74,74.8,Due,3,76.98,0,Enrolled,xjackson@example.net,681-659-3896,2
SID_2024057,80,73.47,Due,3,76.98,0,Enrolled,xjackson@example.net,681-659-3896,3
SID_2024057,79,72.36,Due,3,76.98,0,Enrolled,xjackson@example.net,681-659-3896,4
SID_2024058,87,64.75,Paid,4,70.29,1,Enrolled,bryanstanley@example.com,361.812.2286,1
SID_2024058,91,63.55,Paid,4,70.29,1,Enrolled,bryanstanley@example.com,361.812.2286,2
SID_2024058,86,60.0,Paid,4,70.29,1,Enrolled,bryanstanley@example.com,361.812.2286,3
SID_2024058,90,63.3,Paid,4,70.29,1,Enrolled,bryanstanley@example.com,361.812.2286,4
SID_2024059,93,77.64,Paid,12,89.8,0,Graduate,rschaefer@example.net,+1-937-646-7354x5558,1
SID_2024059,94,83.36,Paid,12,89.8,0,Graduate,rschaefer@example.net,+1-937-646-7354x5558,2
SID_2024059,95,83.54,Paid,12,89.8,0,Graduate,rschaefer@example.net,+1-937-646-7354x5558,3
SID_2024059,96,82.52,Paid,12,89.8,0,Graduate,rschaefer@example.net,+1-937-646-7354x5558,4
SID_2024060,89,66.2,Paid,3,64.16,0,Enrolled,austin55@example.org,(642)829-6010x56492,1
SID_2024060,94,67.97,Paid,3,64.16,0,Enrolled,austin55@example.org,(642)829-6010x56492,2
SID_2024060,94,63.45,Paid,3,64.16,0,Enrolled,austin55@example.org,(642)829-6010x56492,3
SID_2024060,91,60.61,Paid,3,64.16,0,Enrolled,austin55@example.org,(642)829-6010x56492,4
SID_2024061,89,71.25,Paid,6,60.39,0,Enrolled,ruben20@example.org,+1-899-615-3822,1
SID_2024061,93,71.92,Paid,6,60.39,0,Enrolled,ruben20@example.org,+1-899-615-3822,2
SID_2024061,92,66.82,Paid,6,60.39,0,Enrolled,ruben20@example.org,+1-899-615-3822,3
SID_2024061,89,71.95,Paid,6,60.39,0,Enrolled,ruben20@example.org,+1-899-615-3822,4
SID_2024062,57,36.32,Overdue,0,32.19,1,Dropout,danny91@example.org,001-424-981-5949x81378,1
SID_2024062,66,36.27,Overdue,0,32.19,1,Dropout,danny91@example.org,001-424-981-5949x81378,2
SID_2024062,69,37.72,Overdue,0,32.19,1,Dropout,danny91@example.org,001-424-981-5949x81378,3
SID_2024062,72,42.67,Overdue,0,32.19,1,Dropout,danny91@example.org,001-424-981-5949x81378,4
SID_2024063,63,39.1,Overdue,1,29.7,0,Dropout,harrisgavin@example.org,001-713-789-4130x68487,1
SID_2024063,69,50.76,Overdue,1,29.7,0,Dropout,harrisgavin@example.org,001-713-789-4130x68487,2
SID_2024063,70,51.96,Overdue,1,29.7,0,Dropout,harrisgavin@example.org,001-713-789-4130x68487,3
SID_2024063,75,56.77,Overdue,1,29.7,0,Dropout,harrisgavin@example.org,001-713-789-4130x68487,4
SID_2024064,98,94.95,Paid,9,91.6,1,Graduate,hcunningham@example.org,(713)596-1372,1
SID_2024064,100,94.88,Paid,9,91.6,1,Graduate,hcunningham@example.org,(713)596-1372,2
SID_2024064,100,100.0,Paid,9,91.6,1,Graduate,hcunningham@example.org,(713)596-1372,3
SID_2024064,100,100.0,Paid,9,91.6,1,Graduate,hcunningham@example.org,(713)596-1372,4
SID_2024065,85,86.72,Paid,5,58.48,1,Enrolled,miguel89@example.net,7048254291,1
SID_2024065,82,89.5,Paid,5,58.48,1,Enrolled,miguel89@example.net,7048254291,2
SID_2024065,82,88.07,Paid,5,58.48,1,Enrolled,miguel89@example.net,7048254291,3
SID_2024065,83,85.4,Paid,5,58.48,1,Enrolled,miguel89@example.net,7048254291,4
SID_2024066,89,86.86,Paid,8,81.91,0,Graduate,zgolden@example.com,272-485-6129,1
SID_2024066,89,88.94,Paid,8,81.91,0,Graduate,zgolden@example.com,272-485-6129,2
SID_2024066,90,90.11,Paid,8,81.91,0,Graduate,zgolden@example.com,272-485-6129,3
SID_2024066,91,92.65,Paid,8,81.91,0,Graduate,zgolden@example.com,272-485-6129,4
SID_2024067,99,83.14,Paid,8,86.07,0,Graduate,jason29@example.org,+1-510-355-8577x459,1
SID_2024067,100,86.26,Paid,8,86.07,0,Graduate,jason29@example.org,+1-510-355-8577x459,2
SID_2024067,100,93.55,Paid,8,86.07,0,Graduate,jason29@example.org,+1-510-355-8577x459,3
