StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone
SID_2024031,93,64.45,Paid,8,73.99,0,Enrolled,john29@example.org,+1-686-827-7446x570
SID_2024032,85,88.48,Paid,8,78.18,0,Graduate,evan25@example.net,(421)297-6140x725
SID_2024033,96,96.45,Paid,10,77.98,1,Graduate,shane32@example.com,(269)292-4881
SID_2024034,70,84.91,Paid,6,79.22,1,Enrolled,cantujeffrey@example.com,594-729-0611
SID_2024035,85,83.22,Due,9,65.12,0,Enrolled,fosterjacob@example.org,001-559-277-3636x5717
SID_2024036,80,62.52,Paid,3,60.74,0,Enrolled,kevin36@example.com,3399712374
SID_2024037,84,78.99,Paid,5,74.45,1,Enrolled,oayala@example.net,862-874-1869x439
SID_2024038,88,64.85,Paid,7,68.84,0,Enrolled,richardyoung@example.net,001-729-317-3640x29234
SID_2024039,86,69.94,Paid,8,68.45,0,Enrolled,robert82@example.com,4406200147
SID_2024040,88,67.57,Paid,8,56.02,0,Enrolled,allenbarrett@example.org,001-963-406-5790
SID_2024041,88,83.17,Paid,8,74.49,0,Enrolled,kendra66@example.net,(320)877-6311
SID_2024042,72,80.56,Paid,3,64.89,0,Enrolled,elizabeth43@example.org,001-290-464-1682x00075
SID_2024043,97,82.01,Paid,5,77.08,1,Graduate,charles84@example.com,+1-748-898-5854
SID_2024044,91,75.46,Paid,4,67.2,0,Enrolled,millerkatelyn@example.com,+1-967-736-8061
SID_2024045,72,62.22,Paid,3,64.44,1,Enrolled,jeffreyrobinson@example.net,959.897.5764x736
SID_2024046,76,67.61,Paid,8,58.68,1,Enrolled,mthomas@example.org,+1-944-933-4255x6883
SID_2024047,94,97.37,Paid,7,85.61,0,Graduate,swilliams@example.net,2367495774
SID_2024048,87,70.38,Paid,5,63.48,1,Enrolled,melanie31@example.com,2808178425
SID_2024049,83,83.17,Due,9,61.37,0,Enrolled,phillipdavis@example.com,+1-919-454-7652
SID_2024050,59,55.79,Overdue,2,40.64,0,Dropout,scott11@example.net,(520)996-8398
SID_2024051,74,63.7,Paid,5,64.2,0,Enrolled,jdavidson@example.com,+1-319-831-7922x7955
SID_2024052,70,70.28,Due,5,57.77,0,Enrolled,ldavis@example.com,+1-724-385-9690x0369
SID_2024053,51,50.2,Due,1,30.08,0,Dropout,cruztony@example.com,2239957343
SID_2024054,93,73.26,Paid,5,57.01,1,Enrolled,bhicks@example.net,207-389-6903x1815
SID_2024055,88,65.14,Paid,3,56.16,1,Enrolled,andrejones@example.net,(467)345-8865x7786
SID_2024056,96,93.97,Paid,14,77.05,1,Graduate,sherricooper@example.net,+1-784-403-7350x997
SID_2024057,77,74.83,Due,3,76.98,0,Enrolled,xjackson@example.net,681-659-3896
SID_2024058,89,61.31,Paid,4,70.29,1,Enrolled,bryanstanley@example.com,361.812.2286
SID_2024059,92,76.27,Paid,12,89.8,0,Graduate,rschaefer@example.net,+1-937-646-7354x5558
SID_2024060,91,63.57,Paid,3,64.16,0,Enrolled,austin55@example.org,(642)829-6010x56492
SID_2024061,92,69.56,Paid,6,60.39,0,Enrolled,ruben20@example.org,+1-899-615-3822
SID_2024062,72,42.67,Overdue,0,32.19,1,Dropout,danny91@example.org,001-424-981-5949x81378
SID_2024063,75,56.77,Overdue,1,29.7,0,Dropout,harrisgavin@example.org,001-713-789-4130x68487
SID_2024064,97,92.29,Paid,9,91.6,1,Graduate,hcunningham@example.org,(713)596-1372
SID_2024065,85,84.67,Paid,5,58.48,1,Enrolled,miguel89@example.net,7048254291
SID_2024066,87,85.42,Paid,8,81.91,0,Graduate,zgolden@example.com,272-485-6129
SID_2024067,97,81.85,Paid,8,86.07,0,Graduate,jason29@example.org,+1-510-355-8577x459
SID_2024068,92,75.65,Paid,13,80.67,0,Graduate,jose09@example.com,345-372-8464
SID_2024069,72,82.08,Paid,7,67.2,0,Enrolled,chenandrew@example.com,001-334-496-5885x633
SID_2024070,93,81.88,Paid,5,78.91,0,Enrolled,david01@example.com,245-990-2741x31033
SID_2024071,99,77.97,Paid,14,85.36,0,Graduate,nyates@example.org,001-251-534-0394x6917
SID_2024072,74,73.18,Due,5,63.69,1,Enrolled,williamhall@example.org,428.874.1359x864
SID_2024073,99,95.77,Paid,8,82.55,0,Graduate,randy24@example.net,544-432-2938x9149
SID_2024074,79,70.81,Paid,3,67.58,1,Enrolled,santiagoholly@example.com,+1-260-237-3847x69995
SID_2024075,60,50.72,Due,0,53.19,0,Dropout,jeffreyanderson@example.net,+1-821-320-1047x306
SID_2024076,92,81.69,Paid,5,72.52,0,Graduate,alvarezcory@example.org,498.345.5146
SID_2024077,96,77.53,Paid,5,79.39,1,Graduate,jwashington@example.net,314.511.0332x65992
SID_2024078,79,52.87,Overdue,1,47.94,1,Dropout,luisanderson@example.org,001-358-357-2041x4564
SID_2024079,89,84.39,Paid,7,69.82,0,Enrolled,michaelbradley@example.net,+1-718-229-8706x481
SID_2024080,74,68.42,Paid,9,75.73,0,Enrolled,floresalexander@example.com,(811)269-1927
SID_2024081,74,81.94,Paid,6,76.24,0,Enrolled,johnjames@example.net,354-201-9078
SID_2024082,73,60.12,Paid,8,71.87,1,Enrolled,meganguerra@example.org,546-560-9870x360
SID_2024083,74,79.31,Paid,8,57.12,0,Enrolled,michaelhenderson@example.net,773-969-9528
SID_2024084,53,58.98,Overdue,1,50.9,0,Dropout,ayerselizabeth@example.org,(852)766-3297x8185
SID_2024085,67,53.15,Overdue,0,47.34,0,Dropout,william06@example.net,778-838-6410x79715
SID_2024086,98,88.09,Paid,8,89.75,0,Graduate,twells@example.org,+1-369-289-8577x90639
SID_2024087,97,76.87,Paid,14,92.45,0,Graduate,megan40@example.com,(513)972-2395x03755
SID_2024088,88,97.14,Paid,10,90.77,0,Graduate,juan36@example.net,263-619-8577x2739
SID_2024089,95,75.98,Paid,14,81.73,1,Graduate,joshuareed@example.net,517.468.7201x3388
SID_2024090,97,94.66,Paid,6,80.68,0,Graduate,cwilson@example.org,001-477-926-4707x820
SID_2024091,70,63.88,Overdue,3,55.31,1,Dropout,karenwright@example.org,674-242-6628
SID_2024092,91,94.88,Paid,10,92.42,0,Graduate,margaret01@example.org,+1-985-233-2805x97728
SID_2024093,80,83.26,Paid,8,58.89,0,Enrolled,vmcdonald@example.org,4664303586
SID_2024094,71,31.87,Overdue,1,29.22,1,Dropout,lbradley@example.org,001-238-371-7547
SID_2024095,94,74.61,Paid,8,55.42,1,Enrolled,willie20@example.net,(440)289-9520x078
SID_2024096,88,86.7,Paid,6,76.13,0,Graduate,johnsonanthony@example.net,484.994.0551x62229
SID_2024097,52,52.6,Overdue,0,40.37,1,Dropout,gary02@example.com,+1-700-703-4844x24725
SID_2024098,87,79.75,Paid,9,79.59,0,Graduate,jody47@example.org,001-246-886-8685
SID_2024099,54,43.83,Overdue,4,52.79,1,Dropout,etorres@example.org,809-574-3612
SID_2024100,83,65.93,Paid,8,73.63,1,Enrolled,brianoliver@example.net,9323848916
SID_2024101,89,81.16,Paid,6,61.7,0,Enrolled,maryaguirre@example.net,(916)387-6985x78274
SID_2024102,94,79.0,Paid,5,88.29,0,Graduate,booneheidi@example.com,214-422-5507x942
SID_2024103,91,67.14,Paid,5,59.98,0,Enrolled,tonymoore@example.com,320-574-0318
SID_2024104,82,63.18,Paid,5,79.65,0,Enrolled,johnsonmichael@example.org,886.727.0691x614
SID_2024105,85,84.96,Paid,9,92.1,1,Graduate,omartinez@example.com,(426)372-9682x76554
SID_2024106,85,84.69,Paid,6,71.33,0,Enrolled,simpsonwilliam@example.org,8113695246
SID_2024107,77,79.73,Paid,7,64.08,1,Enrolled,reginald99@example.com,946-244-4295
SID_2024108,94,60.53,Due,7,68.8,0,Enrolled,rhonda79@example.com,001-216-708-1324
SID_2024109,79,84.58,Paid,5,64.23,0,Enrolled,williamsbryan@example.org,734.942.3052
SID_2024110,54,59.76,Overdue,4,42.72,0,Dropout,brian76@example.org,308.256.1532x163
SID_2024111,89,71.14,Paid,6,58.58,0,Enrolled,jordan36@example.com,(597)377-8272x935
SID_2024112,85,76.1,Paid,5,72.4,1,Enrolled,lucasphillips@example.net,432.698.6322x675
SID_2024113,91,91.66,Paid,11,70.22,0,Graduate,thomasmoore@example.org,001-393-790-5126x185
SID_2024114,96,94.93,Paid,14,81.43,0,Graduate,franklinanna@example.org,900-909-6346x949
SID_2024115,88,76.0,Paid,9,73.16,1,Enrolled,robertknight@example.net,001-259-386-8363x290
SID_2024116,91,82.8,Paid,10,91.37,0,Graduate,yromero@example.com,(591)779-1198x601
SID_2024117,71,82.17,Paid,3,77.28,0,Enrolled,tguzman@example.com,+1-787-454-0829x3974
SID_2024118,88,79.35,Paid,10,75.75,0,Graduate,roberthumphrey@example.net,(583)522-3874
SID_2024119,89,92.16,Paid,10,83.05,0,Graduate,taylor18@example.com,+1-359-603-8324
SID_2024120,63,38.85,Overdue,4,37.63,0,Dropout,gregoryross@example.org,001-364-426-9763x5488
SID_2024121,73,77.75,Paid,7,70.22,1,Enrolled,olopez@example.net,860-817-5212x0681
SID_2024122,71,62.45,Paid,7,58.69,0,Enrolled,erika30@example.net,001-746-742-1142
SID_2024123,75,72.61,Paid,8,66.9,1,Enrolled,wilsonsusan@example.net,(834)611-6484x414
SID_2024124,86,91.24,Paid,12,91.35,0,Graduate,matthew69@example.com,898-819-4691x822
SID_2024125,63,49.93,Overdue,2,58.33,1,Dropout,havila@example.com,552.463.5631
SID_2024126,97,81.04,Paid,10,89.82,0,Graduate,josephharrison@example.net,+1-536-957-9946
SID_2024127,78,70.04,Paid,3,75.83,0,Enrolled,erika95@example.com,563.611.5637
SID_2024128,96,75.88,Paid,12,78.59,0,Graduate,bperry@example.org,3373769823
SID_2024129,72,74.32,Paid,9,71.13,1,Enrolled,jensenbrenda@example.org,+1-616-721-5376
SID_2024130,80,71.98,Due,9,72.26,0,Enrolled,wilsonjennifer@example.net,+1-682-983-8664x26874
SID_2024131,84,68.62,Paid,8,77.82,0,Enrolled,morgansanchez@example.net,7124217154
SID_2024132,59,32.97,Overdue,0,39.61,1,Dropout,smithcheryl@example.com,+1-247-439-9139x65351
SID_2024133,49,34.81,Overdue,0,42.36,1,Dropout,crystalmcdaniel@example.com,(901)653-1385x822
SID_2024134,76,63.41,Paid,5,66.7,1,Enrolled,richardlang@example.org,001-452-744-6297
SID_2024135,91,66.54,Paid,7,59.23,1,Enrolled,cherylsmith@example.org,623-361-3609x718
SID_2024136,88,89.02,Paid,7,83.14,0,Graduate,gary05@example.org,001-898-555-4153
SID_2024137,40,55.28,Overdue,1,57.68,1,Dropout,timothypatrick@example.com,883.333.0346
SID_2024138,50,49.04,Overdue,1,36.21,0,Dropout,anabeasley@example.net,833-654-9140x32704
SID_2024139,83,70.55,Paid,6,75.75,1,Enrolled,brian90@example.com,750.891.9357
SID_2024140,41,48.68,Overdue,0,50.31,0,Dropout,sarahbarnett@example.org,+1-823-892-5004
SID_2024141,85,95.26,Paid,6,78.0,0,Graduate,charris@example.net,001-902-201-0574
SID_2024142,94,83.16,Paid,6,91.34,0,Graduate,josephturner@example.com,+1-513-675-2010
SID_2024143,78,41.15,Due,4,46.14,1,Dropout,christina71@example.com,001-225-565-9489x330
SID_2024144,85,81.69,Paid,3,59.53,0,Enrolled,larry09@example.com,(719)708-4543x105
SID_2024145,73,63.49,Paid,7,68.38,1,Enrolled,franciscoromero@example.com,7814347862
SID_2024146,90,75.03,Paid,5,87.8,1,Graduate,debralambert@example.net,(282)914-0727x900
SID_2024147,74,73.04,Due,7,55.45,0,Enrolled,changsean@example.net,001-668-638-6194
SID_2024148,91,64.42,Paid,9,62.34,0,Enrolled,hunterstephen@example.org,001-427-813-4887x435
SID_2024149,71,73.58,Paid,7,75.72,0,Enrolled,ambercollier@example.net,768.326.5804
SID_2024150,54,60.88,Overdue,2,33.08,1,Dropout,matthewjohnson@example.com,700.668.2485x65077
SID_2024151,76,81.65,Paid,7,70.31,0,Enrolled,hmorales@example.net,712-244-1519
SID_2024152,96,82.12,Paid,14,79.91,0,Graduate,grichards@example.com,(379)384-1214x889
SID_2024153,58,57.41,Overdue,1,34.45,0,Dropout,danielhenderson@example.net,766.450.3407
SID_2024154,46,44.83,Overdue,4,52.2,1,Dropout,zacharyhughes@example.com,(691)916-6482x065
SID_2024155,58,52.86,Due,0,47.73,1,Dropout,chambersjohn@example.org,001-649-548-2413x821
SID_2024156,97,77.39,Paid,6,82.79,0,Graduate,sanchezstanley@example.com,+1-981-683-3073x5971
SID_2024157,67,60.65,Overdue,1,37.49,1,Dropout,wongsarah@example.com,904-453-1782
SID_2024158,90,84.73,Paid,8,67.41,0,Enrolled,bowmanbryan@example.net,688-889-2746x947
SID_2024159,83,78.46,Paid,8,71.77,0,Enrolled,arobbins@example.com,(573)201-9952x573
SID_2024160,90,76.02,Paid,10,73.9,0,Graduate,estephenson@example.net,+1-708-343-1077
SID_2024161,94,75.0,Paid,7,89.7,1,Graduate,wshields@example.net,001-332-481-4828x80676
SID_2024162,87,80.87,Paid,9,83.34,0,Graduate,brett83@example.net,508.428.8784x42471
SID_2024163,74,62.22,Paid,5,71.36,0,Enrolled,cherylbartlett@example.org,252-805-7450
SID_2024164,40,48.29,Overdue,4,55.73,0,Dropout,lwilliams@example.com,545-860-9648x8064
SID_2024165,59,31.55,Paid,4,43.93,0,Dropout,denise40@example.org,5237370685
SID_2024166,94,69.5,Paid,7,55.9,0,Enrolled,cheryl53@example.org,978-858-6410x978
SID_2024167,69,34.6,Overdue,2,33.74,0,Dropout,leegrimes@example.org,3935176000
SID_2024168,93,70.82,Due,8,79.64,0,Enrolled,mwilliams@example.com,+1-374-437-6332
SID_2024169,95,91.87,Paid,8,79.48,0,Graduate,huntersean@example.net,276.793.5352x001
SID_2024170,87,79.01,Paid,13,82.66,0,Graduate,bpierce@example.net,(684)782-0961
SID_2024171,79,65.11,Paid,6,61.79,1,Enrolled,heathernicholson@example.org,+1-547-787-6000
SID_2024172,82,69.35,Paid,4,71.94,0,Enrolled,wooddiana@example.com,001-776-333-1560x935
SID_2024173,93,69.07,Paid,6,71.68,0,Enrolled,traceygarcia@example.net,547-889-4006
SID_2024174,94,77.74,Paid,7,66.04,1,Enrolled,stephen10@example.net,001-639-518-6227
SID_2024175,86,94.11,Paid,8,89.21,0,Graduate,ashley85@example.com,782.430.4503x8734
SID_2024176,82,84.77,Paid,4,75.19,0,Enrolled,eric71@example.org,001-432-573-0731
SID_2024177,75,73.47,Due,3,75.32,1,Enrolled,thomasrebecca@example.com,+1-719-464-8235x98234
SID_2024178,99,89.36,Paid,9,77.64,1,Graduate,lwilliams@example.org,(357)514-7833x508
SID_2024179,72,83.05,Paid,3,64.46,1,Enrolled,martha66@example.org,(786)338-4919x88202
SID_2024180,82,66.06,Due,4,59.04,1,Enrolled,yvonne61@example.org,(987)786-7670
SID_2024181,91,82.43,Paid,11,93.73,0,Graduate,patricia55@example.net,827-974-5163
SID_2024182,90,86.32,Paid,7,76.04,0,Graduate,xclark@example.org,363.818.9519x050
SID_2024183,69,63.07,Overdue,3,54.35,1,Dropout,emily25@example.net,001-506-524-2864
SID_2024184,51,62.3,Due,4,56.71,1,Dropout,donnadunn@example.com,001-436-752-3685x1758
SID_2024185,92,88.14,Paid,7,79.54,1,Graduate,hjohnson@example.com,+1-416-822-4872x13291
SID_2024186,65,30.17,Overdue,2,44.2,1,Dropout,zleonard@example.org,821-879-8413
SID_2024187,90,78.96,Due,7,60.28,1,Enrolled,jason27@example.org,699-947-1284x474
SID_2024188,88,90.57,Paid,8,75.89,0,Graduate,hallrose@example.net,(730)430-8470
SID_2024189,98,78.74,Paid,14,82.79,1,Graduate,michaelbaker@example.net,+1-780-984-6769x288
SID_2024190,85,82.89,Paid,12,85.17,1,Graduate,zharmon@example.org,3787199351
SID_2024191,75,53.51,Due,2,35.84,0,Dropout,devin25@example.net,480.737.6614x3061
SID_2024192,95,77.89,Paid,8,84.16,1,Graduate,sarahmontoya@example.org,001-823-847-6591x2101
SID_2024193,78,42.93,Overdue,2,47.53,1,Dropout,robert48@example.net,(483)598-2922
SID_2024194,91,82.39,Due,7,57.58,1,Enrolled,raymondmendoza@example.net,724-791-3932x68776
SID_2024195,77,55.25,Due,4,29.12,1,Dropout,wallaceamanda@example.org,(328)693-9203
SID_2024196,73,63.31,Due,6,59.14,1,Enrolled,qmann@example.net,590.234.5436x17305
SID_2024197,45,31.7,Overdue,4,57.07,1,Dropout,ryan82@example.org,255.377.4718x61460
SID_2024198,83,79.84,Paid,3,58.71,1,Enrolled,dbarry@example.org,001-570-372-4803x69104
SID_2024199,73,61.52,Paid,4,56.37,0,Enrolled,matthewtorres@example.net,866.709.6589x61822
SID_2024200,86,75.58,Paid,7,60.25,1,Enrolled,jeremy26@example.com,8242245233
SID_2024201,85,81.04,Paid,6,89.97,0,Graduate,yhodge@example.com,001-565-469-6796
SID_2024202,72,61.96,Paid,9,75.35,1,Enrolled,hannah96@example.net,(759)678-9199
SID_2024203,87,77.14,Paid,6,74.81,0,Graduate,weaverdarryl@example.org,779-306-6553
SID_2024204,91,79.54,Paid,4,76.26,0,Enrolled,julie02@example.org,(269)493-4028x276
SID_2024205,71,70.45,Paid,5,77.9,0,Enrolled,sampsonscott@example.net,001-388-697-8312x224
SID_2024206,77,60.18,Due,3,65.63,0,Enrolled,wglover@example.net,+1-898-584-2703
SID_2024207,80,69.2,Paid,9,72.58,0,Enrolled,reedjonathan@example.com,375-885-7945x865
SID_2024208,73,79.35,Paid,8,71.33,1,Enrolled,lauragraham@example.net,(452)681-5338x4922
SID_2024209,90,77.06,Paid,5,63.18,0,Enrolled,sherry55@example.com,8242525041
SID_2024210,78,53.12,Due,4,59.0,0,Dropout,normankeith@example.org,+1-520-730-0544x80346
SID_2024211,77,75.19,Paid,4,73.0,1,Enrolled,rebecca02@example.net,570-291-2874
SID_2024212,92,83.27,Paid,10,70.68,0,Graduate,seansims@example.org,(950)324-1216
SID_2024213,58,48.33,Overdue,1,30.6,1,Dropout,cbaker@example.com,(377)211-3960
SID_2024214,82,81.0,Due,5,71.44,0,Enrolled,jennifersanchez@example.com,(483)832-8032
SID_2024215,55,43.48,Due,3,28.17,0,Dropout,ereed@example.org,001-373-547-1296x05004
SID_2024216,89,90.54,Paid,9,80.32,0,Graduate,nicolehorton@example.net,+1-406-346-1266x262
SID_2024217,89,79.41,Paid,6,63.37,0,Enrolled,steven13@example.com,(721)963-9676x220
SID_2024218,49,53.48,Overdue,1,37.32,0,Dropout,toddwalton@example.org,(645)287-3235
SID_2024219,81,84.88,Due,9,59.39,0,Enrolled,mikemills@example.org,683.630.6837x0877
SID_2024220,90,62.71,Paid,6,56.27,1,Enrolled,leonkevin@example.org,001-899-330-3192x3748
SID_2024221,61,62.03,Due,4,37.43,1,Dropout,robertlopez@example.net,+1-992-715-1732x6292
SID_2024222,95,92.01,Paid,12,83.75,0,Graduate,brandonmiller@example.org,878-907-9314
SID_2024223,90,77.35,Paid,3,55.73,1,Enrolled,nsalazar@example.org,804.921.8306
SID_2024224,51,53.51,Due,3,41.56,1,Dropout,michaelcharles@example.net,+1-836-232-7142x86375
SID_2024225,80,75.29,Due,4,71.17,0,Enrolled,woconnor@example.com,868.910.1640x009
SID_2024226,93,67.99,Due,4,72.81,0,Enrolled,bakerhenry@example.com,818.984.7883
SID_2024227,70,63.26,Paid,4,75.42,0,Enrolled,hramos@example.org,+1-970-891-5776x0368
SID_2024228,64,36.25,Paid,0,35.97,1,Dropout,karinacombs@example.com,001-289-826-3694x2578
SID_2024229,70,46.56,Overdue,3,43.64,0,Dropout,ymcgee@example.net,001-613-706-5174
SID_2024230,56,51.31,Overdue,0,35.86,1,Dropout,alyssahoward@example.com,001-950-936-1572x589
SID_2024231,91,73.41,Paid,5,74.33,1,Enrolled,carsonamanda@example.net,422-880-9329
SID_2024232,40,38.7,Overdue,0,48.88,0,Dropout,richardluna@example.net,954-968-0171
SID_2024233,61,56.51,Overdue,4,53.52,1,Dropout,ugiles@example.net,+1-536-958-8581x470
SID_2024234,71,55.54,Overdue,2,34.37,0,Dropout,jasontucker@example.net,441-937-4404
SID_2024235,92,92.19,Paid,5,86.48,0,Graduate,zthomas@example.net,786-383-5565
SID_2024236,73,72.7,Paid,3,65.42,1,Enrolled,nicole26@example.com,9265136770
SID_2024237,88,75.4,Paid,5,63.94,0,Enrolled,charlespatterson@example.net,875.743.8023
SID_2024238,79,75.69,Paid,3,69.78,0,Enrolled,beth09@example.com,624-709-2992x567
SID_2024239,94,76.92,Paid,11,70.79,1,Graduate,ahuff@example.net,(585)517-8271x6276
SID_2024240,71,66.58,Paid,3,60.74,0,Enrolled,lisa14@example.org,245-476-6422x66698
SID_2024241,99,86.49,Paid,9,77.64,1,Graduate,ashley40@example.net,217-670-4521x010
SID_2024242,99,77.6,Paid,6,76.28,0,Graduate,reedrobert@example.net,283.327.3855x998
SID_2024243,89,62.9,Paid,3,59.63,0,Enrolled,villachristine@example.org,+1-401-883-4990x808
SID_2024244,78,72.71,Paid,7,68.35,0,Enrolled,yolanda50@example.net,001-386-920-6492x678
SID_2024245,75,54.38,Overdue,0,59.68,0,Dropout,yadkins@example.org,001-292-490-1198x04202
SID_2024246,85,62.87,Paid,4,55.11,0,Enrolled,oliviayates@example.net,248-377-8560
SID_2024247,89,81.41,Paid,8,57.38,0,Enrolled,tsantana@example.net,(414)408-3766
SID_2024248,86,90.5,Paid,11,85.43,0,Graduate,greenjacqueline@example.org,001-327-944-2750x61403
SID_2024249,79,70.32,Paid,5,63.94,0,Enrolled,zharris@example.org,738.798.6491
SID_2024250,90,73.55,Paid,6,64.98,1,Enrolled,marcjones@example.com,2816228908
SID_2024251,91,71.77,Paid,6,73.52,0,Enrolled,brentmack@example.com,(816)757-2192
SID_2024252,99,84.59,Paid,10,76.74,1,Graduate,anthony69@example.com,001-801-625-5070x04257
SID_2024253,43,64.49,Due,0,59.13,0,Dropout,pcook@example.net,602.946.3560x26025
SID_2024254,67,41.78,Paid,4,59.51,0,Dropout,sarah59@example.net,(834)836-0145x2934
SID_2024255,73,66.28,Paid,6,57.04,0,Enrolled,anne90@example.com,914-386-7699
SID_2024256,81,65.45,Paid,7,55.85,0,Enrolled,collinschristy@example.com,9357810904
SID_2024257,99,86.21,Paid,9,82.32,0,Graduate,turnertony@example.org,001-937-728-1675
SID_2024258,76,82.81,Due,9,65.64,0,Enrolled,michaeltrujillo@example.com,(205)546-0276
SID_2024259,88,95.41,Paid,9,90.4,1,Graduate,epace@example.org,2015899451
SID_2024260,83,62.36,Paid,5,64.5,0,Enrolled,mathewrobinson@example.com,259-309-7702
SID_2024261,83,64.75,Paid,7,58.4,1,Enrolled,grahamadam@example.net,488-427-9779x7504
SID_2024262,92,68.68,Due,4,57.21,1,Enrolled,colleenholden@example.net,(372)910-6649x75184
SID_2024263,70,62.59,Paid,4,61.05,0,Enrolled,xwright@example.org,(381)432-4761
SID_2024264,85,87.66,Paid,9,71.28,0,Graduate,barbaratorres@example.net,(424)772-0289
SID_2024265,55,55.08,Overdue,0,53.09,0,Dropout,christopher71@example.com,479-667-2465x014
SID_2024266,91,62.94,Paid,4,78.11,0,Enrolled,kcoleman@example.org,268-723-4593
SID_2024267,78,72.47,Paid,6,66.89,0,Enrolled,blankenshipcarol@example.com,(366)266-4272x81062
SID_2024268,74,70.94,Paid,8,64.52,0,Enrolled,brooke80@example.net,827-289-8679x83074
SID_2024269,97,95.05,Paid,6,72.46,0,Graduate,tamarakemp@example.net,805.311.2919
SID_2024270,71,82.56,Paid,7,60.9,1,Enrolled,rfox@example.net,(642)396-2785
SID_2024271,72,77.02,Paid,9,74.26,0,Enrolled,willie14@example.org,+1-895-501-1371x890
SID_2024272,91,82.04,Paid,6,84.07,0,Graduate,stephenlong@example.org,391.455.8115
SID_2024273,78,46.82,Paid,4,38.22,1,Dropout,scottshannon@example.org,618.216.8182x933
SID_2024274,85,80.71,Paid,7,83.56,0,Graduate,victor60@example.com,+1-393-730-0355
SID_2024275,89,76.53,Paid,13,84.83,0,Graduate,jessica31@example.org,(999)800-2579
SID_2024276,71,72.56,Paid,3,60.15,0,Enrolled,pcooper@example.net,001-307-954-2553
SID_2024277,85,81.45,Paid,5,80.96,1,Graduate,kristopher46@example.net,865-707-7540
SID_2024278,87,69.42,Paid,5,55.33,0,Enrolled,robertsanchez@example.org,6984622550
SID_2024279,96,95.57,Paid,10,74.59,1,Graduate,shelleyskinner@example.net,(862)932-3916
SID_2024280,87,84.37,Paid,6,90.79,1,Graduate,vhenderson@example.net,(823)418-7238x33486
